"ID","Year","Aphid","Endophyte","Ozone","Biomass","Tiller"
1,2011,"1","1","1",3.48,14
2,2011,"1","1","1",8.85,20
3,2011,"1","1","1",4.51,13
4,2011,"1","1","1",11.43,20
5,2011,"1","1","1",5.69,16
6,2011,"1","1","1",3.39,20
7,2011,"1","1","1",1.46,16
8,2011,"1","1","1",8.02,12
9,2011,"1","1","0",3.67,13
10,2011,"1","1","0",10.08,19
11,2011,"1","1","0",5.3,20
12,2011,"1","1","0",6.47,19
13,2011,"1","1","0",5.7,17
14,2011,"1","1","0",3.91,18
15,2011,"1","1","0",1.71,13
16,2011,"1","1","0",11.48,20
17,2011,"1","0","1",1.7,13
18,2011,"1","0","1",4.89,18
19,2011,"1","0","1",8.33,14
20,2011,"1","0","1",6.31,8
21,2011,"1","0","1",2.64,12
22,2011,"1","0","1",4.49,17
23,2011,"1","0","1",4.28,9
24,2011,"1","0","1",1.64,20
25,2011,"1","0","0",2.16,13
26,2011,"1","0","0",3.3,15
27,2011,"1","0","0",7.8,11
28,2011,"1","0","0",4.08,9
29,2011,"1","0","0",14.3,20
30,2011,"1","0","0",6.32,19
31,2011,"1","0","0",3.07,16
32,2011,"1","0","0",3.3,12
33,2010,"1","1","1",2.21,13
34,2010,"1","1","1",2.14,13
35,2010,"1","1","1",4.2,19
36,2010,"1","1","1",4.36,16
37,2010,"1","0","1",1.67,11
38,2010,"1","0","1",2.78,10
39,2010,"1","0","1",1.39,18
40,2010,"1","0","1",1.23,14
41,2010,"1","1","0",3.64,15
42,2010,"1","1","0",2.46,8
43,2010,"1","1","0",2.59,15
44,2010,"1","1","0",5.33,14
45,2010,"1","0","0",1.24,9
46,2010,"1","0","0",1.42,13
47,2010,"1","0","0",3.44,16
48,2010,"1","0","0",1.76,17
49,2010,"0","1","0",4.04,13
50,2010,"0","1","0",3.3,20
51,2010,"0","1","0",6.37,16
52,2010,"0","1","0",5.74,20
53,2010,"0","1","1",4.54,16
54,2010,"0","1","1",7.76,12
55,2010,"0","1","1",3.64,13
56,2010,"0","1","1",3.61,19
57,2010,"0","0","0",3.11,20
58,2010,"0","0","0",2.51,18
59,2010,"0","0","0",1.77,13
60,2010,"0","0","0",6.34,20
61,2010,"0","0","1",2.63,13
62,2010,"0","0","1",2.52,18
63,2010,"0","0","1",2.44,14
64,2010,"0","0","1",4.36,8
65,2011,"0","1","0",15.97,12
66,2011,"0","1","0",12.39,17
67,2011,"0","1","0",7.61,13
68,2011,"0","1","0",6.07,15
69,2011,"0","1","0",9.93,11
70,2011,"0","1","0",1.99,9
71,2011,"0","1","0",8.5,20
72,2011,"0","1","0",4.97,19
73,2011,"0","1","1",12.2,16
74,2011,"0","1","1",6.24,12
75,2011,"0","1","1",6.48,13
76,2011,"0","1","1",11.03,13
77,2011,"0","1","1",4.63,19
78,2011,"0","1","1",5.43,16
79,2011,"0","1","1",7.19,19
80,2011,"0","1","1",9.03,20
81,2011,"0","0","0",8.68,19
82,2011,"0","0","0",4.4,17
83,2011,"0","0","0",8.41,18
84,2011,"0","0","0",6.8,14
85,2011,"0","0","0",3.18,15
86,2011,"0","0","0",8.53,8
87,2011,"0","0","0",5.86,15
88,2011,"0","0","0",3.28,14
89,2011,"0","0","1",6.43,9
90,2011,"0","0","1",7.57,13
91,2011,"0","0","1",11.92,16
92,2011,"0","0","1",5.36,17
93,2011,"0","0","1",4.36,14
94,2011,"0","0","1",5.14,20
95,2011,"0","0","1",3.77,13
96,2011,"0","0","1",7.37,20
